Algoritmos;Tamaños;Tiempos;Promedios
MSIP_Optimizado;88587;38024600;37272400;36563100;39579100;39095600;36634900;34689300;37567100;35306600;35861600;37040737
MSRS;143845;19678800;21271300;23235000;21368500;20809700;21215000;19400600;21259200;21229200;20693800;20940687
MSIS;143845;12206300;12227500;12322000;12004800;11967000;11567400;11859800;11538300;12078000;11769900;11960087
MSRP;143845;8867800;9036000;9587800;5556400;6637900;6641100;7938700;6233800;8852800;9907800;7974487
MSIP_Optimizado;143845;63875200;64129400;64086200;63110800;64724000;62026500;63204600;61705800;63535900;62230800;63274925
MSRS;233572;37966600;36868700;38285400;37257000;32803600;36615300;34295800;37284700;34335900;33806200;36053775
MSIS;233572;20095000;19927600;19779900;19728300;20000000;19802200;19619600;19478400;21816400;19805400;19844750
MSRP;233572;12103400;15799600;13627600;20877400;13723700;12285100;20662100;14999500;12728800;15156300;14872837
MSIP_Optimizado;233572;103249600;104415900;106522500;101592700;101434900;99957700;98958700;108332000;107175300;105878500;103778387
MSRS;379269;56934800;54008700;58594000;57839700;57221800;57573400;57109200;57141500;57413600;58160600;57424325
MSIS;379269;33198900;34497500;32782800;33586300;34014800;33757600;33407900;33515300;33876800;34717700;33731887
MSRP;379269;31549800;28247200;22611600;20053400;32672000;38255700;37252400;39017200;43369400;24785300;31798900
MSIP_Optimizado;379269;175204800;163760900;164173600;161180500;165073100;173029100;163853300;165000500;178771000;162963300;166632325
MSRS;615848;86006100;87212400;87790500;85251600;87597600;92104600;86978600;86919600;85834300;90150000;87311137
MSIS;615848;56940300;56591200;58936900;58995200;57119300;56505800;56418400;57914500;57112000;56972300;57261537
MSRP;615848;29363400;35012700;36532800;27527400;47153300;40956600;38560600;52145100;28779800;29041700;35675112
MSIP_Optimizado;615848;302668600;285179400;288040000;280443800;287509400;286229800;287931600;282148200;288262400;289894100;286899362
MSRS;1000000;156586100;151797300;148372600;146644100;145288900;148136800;148542300;147428100;148019100;148883500;148477975
MSIS;1000000;98051200;98421800;98660300;97510700;98755100;96701000;97351200;98590200;97749400;98430100;98095612
MSRP;1000000;53230600;41353700;42861300;54642000;42144200;45394400;50725500;46046000;67921100;79010200;50370637
MSIP_Optimizado;1000000;503661100;524106900;514769400;503217200;547845600;574424000;532601000;553808500;538422800;596249100;536204912
